Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-Nov-17,2658,2668.55,2625,2634.25,2646.294653,18252,951,48300170,5786,31.7,43.55,-23.75
29-Nov-17,2679.8,2692.3,2651,2658.55,2673.773675,13812,769,36930162,5357,38.79,41.3,-21.25
28-Nov-17,2687,2697.5,2672.25,2684.9,2690.948478,82373,1342,221661499,58671,71.23,25.25,-2.1
27-Nov-17,2677,2691.4,2665.2,2687.05,2676.860502,17735,912,47474121,3555,20.05,26.2,10.05
24-Nov-17,2674,2706,2674,2688.75,2688.747509,21173,1279,56928851,8264,39.03,32,14.75
23-Nov-17,2684.1,2694.25,2672.65,2682.75,2685.441061,16585,686,44538040,3521,21.23,21.6,-1.35
22-Nov-17,2670,2709.4,2670,2683.2,2686.758103,73742,1293,198126916,33729,45.74,39.4,13.2
21-Nov-17,2704.75,2704.75,2670,2676.65,2682.481587,16157,939,43340855,5583,34.55,34.75,-28.1
20-Nov-17,2718.1,2725.65,2696.95,2704.65,2712.741433,24222,1002,65708023,5287,21.83,28.7,-13.45
17-Nov-17,2759,2759,2706,2710.1,2721.854194,15068,923,41012899,3569,23.69,53,-48.9
16-Nov-17,2707,2761,2690,2746.6,2734.020429,66179,3834,180934738,14013,21.17,71,39.6
15-Nov-17,2715,2749.95,2702.8,2706.15,2729.162092,24591,1454,67112825,4323,17.58,47.15,-8.85
14-Nov-17,2758,2758,2706.55,2716.75,2722.473521,29722,2044,80917358,8966,30.17,51.45,-41.25
13-Nov-17,2703,2774,2700,2758.9,2754.096431,67364,3391,185526952,31094,46.16,74,55.9
10-Nov-17,2717,2729.95,2695.5,2703.3,2705.148058,9064,597,24519462,2694,29.72,34.45,-13.7
9-Nov-17,2750,2750,2713.55,2733.85,2730.383956,31389,1645,85704022,11426,36.4,36.45,-16.15
8-Nov-17,2728,2753.1,2719.65,2730.45,2738.113824,30591,4348,83761640,9732,31.81,33.45,2.45
7-Nov-17,2671,2743.6,2668,2708.35,2717.175675,116044,5765,315311934,22357,19.27,75.6,37.35
6-Nov-17,2610,2672.95,2610,2667,2646.87239,37160,3862,98357778,16927,45.55,62.95,57
3-Nov-17,2630,2635,2604.25,2612.7,2614.732884,17951,1025,46937070,4494,25.03,30.75,-17.3
2-Nov-17,2586.5,2670,2586.5,2625.8,2635.128369,40438,1813,106559321,10419,25.77,83.5,39.3
1-Nov-17,2622,2622,2581.1,2602.5,2595.116278,25353,1199,65793983,7526,29.68,40.9,-19.5
31-Oct-17,2595.05,2634.9,2595.05,2616.3,2624.199497,35800,2043,93946342,14548,40.64,39.85,21.25
30-Oct-17,2580,2618,2580,2613,2605.562972,42757,1644,111406056,9681,22.64,38,33
27-Oct-17,2545,2590,2534.4,2579.2,2564.967601,29661,1202,76079504,8203,27.66,55.6,34.2
26-Oct-17,2560,2566.4,2525.6,2543,2544.014165,23932,1542,60883347,6863,28.68,40.8,-17
25-Oct-17,2582,2611,2558.75,2561.75,2586.899597,13157,820,34035838,3552,27,52.25,-20.25
24-Oct-17,2610,2619,2570.45,2580.6,2586.765984,14593,719,37748676,4496,30.81,48.55,-29.4
23-Oct-17,2581,2625.05,2555,2585.95,2593.971585,91430,2081,237166822,64803,70.88,70.05,4.95
19-Oct-17,2589.05,2594.95,2570.85,2580.95,2581.324908,5143,370,13275754,2226,43.28,24.1,-8.1
18-Oct-17,2590,2611.9,2580,2589.05,2590.697143,16133,955,41795717,7239,44.87,31.9,-0.95
17-Oct-17,2586,2612.95,2581.1,2594.85,2601.541263,31166,1897,81079635,12012,38.54,31.85,8.85
16-Oct-17,2556.75,2590,2556,2585.1,2578.075612,42996,1604,110846939,23605,54.9,34,28.35
13-Oct-17,2549.9,2605.6,2525,2556.75,2563.485932,93513,4662,239719260,15983,17.09,80.6,6.85
12-Oct-17,2501.05,2555,2501.05,2548.55,2520.284,186877,2711,470983113,155588,83.26,53.95,47.5
11-Oct-17,2460,2513.35,2457.7,2500.5,2501.219391,127184,1835,318115087,107723,84.7,55.65,40.5
10-Oct-17,2460,2470.6,2452.1,2459.55,2459.876098,144372,1201,355137232,125657,87.04,18.5,-0.45
9-Oct-17,2448,2467,2442.6,2452.55,2457.095459,20459,833,50269716,8158,39.87,24.4,4.55
6-Oct-17,2428,2454.05,2427.6,2445.15,2444.302958,24208,1015,59171686,11458,47.33,26.45,17.15
5-Oct-17,2442,2442.55,2425,2430.15,2435.662775,112284,1403,273485959,94617,84.27,17.55,-11.85
4-Oct-17,2470,2470,2429,2442.55,2439.264467,132440,2537,323056186,86403,65.24,41,-27.45
3-Oct-17,2435,2455.45,2428,2447.05,2438.637138,166457,3026,405928222,115039,69.11,27.45,12.05
29-Sep-17,2478.45,2483.45,2420.65,2437,2443.028092,95364,2501,232976931,33743,35.38,62.8,-41.45
28-Sep-17,2495,2511.05,2452.85,2478.45,2481.092833,107850,2873,267585862,69261,64.22,58.2,-16.55
27-Sep-17,2490,2507.95,2474.1,2490.15,2492.132853,331057,1900,825038026,306122,92.47,33.85,0.15
26-Sep-17,2508.2,2526,2468,2474.9,2484.931517,62103,2369,154321702,36550,58.85,58,-33.3
25-Sep-17,2528.8,2533,2495,2508.2,2516.287775,43117,2751,108494780,10933,25.36,38,-20.6
22-Sep-17,2525,2525.9,2495.2,2502.35,2508.385442,25498,1144,63958812,9618,37.72,30.7,-22.65
21-Sep-17,2487.5,2539.7,2479.95,2525.85,2519.158332,29874,1611,75257336,9697,32.46,59.75,38.35
20-Sep-17,2498.3,2505,2478.05,2492.4,2489.175099,17967,1056,44723009,6024,33.53,26.95,-5.9
19-Sep-17,2499.05,2503.35,2492.5,2498.3,2496.838114,13318,623,33252890,4457,33.47,10.85,-0.75
18-Sep-17,2507,2516.9,2491.1,2499.05,2501.347694,22330,954,55855094,9350,41.87,25.8,-7.95
15-Sep-17,2492,2514.45,2487.6,2498.55,2498.506011,48080,1473,120128169,22794,47.41,26.85,6.55
14-Sep-17,2490,2497.45,2473,2485.05,2478.809251,35434,718,87834127,22876,64.56,24.45,-4.95
13-Sep-17,2500,2528.05,2475.35,2488.1,2507.080718,62997,1288,157938564,45650,72.46,52.7,-11.9
12-Sep-17,2465,2494.45,2457,2486.8,2471.395564,26016,1092,64295827,11321,43.52,37.45,21.8
11-Sep-17,2474,2480.55,2456.2,2463.55,2465.72235,49710,1685,122571058,25892,52.09,24.35,-10.45
8-Sep-17,2463,2475,2453.95,2470.15,2467.096344,28066,838,69241526,16426,58.53,21.05,7.15
7-Sep-17,2456,2467,2452.35,2458.95,2458.916934,18997,945,46712045,7970,41.95,14.65,2.95
6-Sep-17,2470,2474.95,2452,2456.45,2458.743568,14382,986,35361650,4160,28.93,22.95,-13.55
5-Sep-17,2457.8,2482.5,2440,2477.65,2460.037637,27606,1109,67911799,13531,49.01,42.5,19.85
4-Sep-17,2456.45,2462.75,2440.2,2457.8,2453.163571,62768,2006,153980171,33969,54.12,22.55,1.35
1-Sep-17,2475,2477,2440,2463.2,2456.359194,38617,2140,94857223,9174,23.76,37,-11.8
31-Aug-17,2492,2500,2468,2496.75,2473.009339,228279,1388,564536099,,,32,4.75
30-Aug-17,2487.5,2491.45,2461,2486.75,2478.313289,19972,1066,49496873,6905,34.57,30.45,-0.75
29-Aug-17,2485.85,2493.9,2466,2474.95,2475.840133,17771,1021,43998155,5533,31.13,27.9,-10.9
28-Aug-17,2496,2501.95,2464,2485.85,2479.026595,21433,1632,53132977,6834,31.89,37.95,-10.15
24-Aug-17,2475.3,2515,2475.3,2495.3,2496.551166,13847,820,34569744,3963,28.62,39.7,20
23-Aug-17,2500,2520,2475.65,2493,2489.823023,12770,931,31795040,3736,29.26,44.35,-7
22-Aug-17,2519.9,2538,2491,2496.05,2515.157363,18022,1102,45328166,5247,29.11,47,-23.85
21-Aug-17,2512.85,2542,2495,2521.4,2528.924968,35705,2090,90295266,11604,32.5,47,8.55
18-Aug-17,2475,2546.45,2470.95,2512.85,2508.570648,141937,5218,356058992,69852,49.21,75.5,37.85
17-Aug-17,2500,2500,2462,2480.15,2478.873949,21642,1410,53647790,5647,26.09,38,-19.85
16-Aug-17,2497,2547,2466.85,2491.05,2486.901272,36332,1724,90354097,8589,23.64,80.15,-5.95
14-Aug-17,2501,2505.6,2460.05,2469.15,2485.210076,14490,1044,36010694,6152,42.46,45.55,-31.85
11-Aug-17,2514,2533.3,2485,2494,2507.423882,38473,1927,96468119,10587,27.52,48.3,-20
10-Aug-17,2498.4,2520,2486.5,2511.25,2500.99581,23630,1457,59098531,8558,36.22,33.5,12.85
9-Aug-17,2495.95,2521.45,2495.1,2501.95,2506.088533,18445,1268,46224803,5909,32.04,26.35,6
8-Aug-17,2525,2526,2486,2497.8,2506.172422,20792,1288,52108337,6642,31.94,40,-27.2
7-Aug-17,2522,2522.75,2484,2504.6,2494.856862,31012,1624,77370501,10006,32.26,38.75,-17.4
4-Aug-17,2490,2528,2487.45,2522.75,2510.145706,29340,1975,73647675,10308,35.13,40.55,32.75
3-Aug-17,2479,2501.45,2472,2489.55,2487.352207,453594,1656,1128248037,441176,97.26,29.45,10.55
2-Aug-17,2499,2501.85,2458,2467.35,2482.660115,21266,1435,52796250,6142,28.88,43.85,-31.65
1-Aug-17,2494.05,2518.9,2488.3,2499.95,2503.257646,26028,1843,65154790,9404,36.13,30.6,5.9
31-Jul-17,2470,2516,2464.9,2494.05,2493.234096,42427,2454,105780443,9370,22.08,51.1,24.05
28-Jul-17,2479.4,2488.55,2443.85,2482.75,2465.592993,42530,3135,104861670,11794,27.73,44.7,3.35
27-Jul-17,2550,2583.7,2469.05,2484.35,2515.043425,59988,3921,150872425,19121,31.87,114.65,-65.65
26-Jul-17,2555,2573,2547,2554.8,2558.624372,37625,2130,96268242,12032,31.98,26,-0.2
25-Jul-17,2530,2580,2517.7,2570.65,2554.562726,51526,2932,131626399,20321,39.44,62.3,40.65
24-Jul-17,2480,2539.2,2479.9,2532.65,2518.992135,57594,2851,145078833,18576,32.25,59.3,52.65
21-Jul-17,2445.2,2499,2439.8,2490.9,2473.211863,43547,2740,107700957,14194,32.59,59.2,45.7
20-Jul-17,2450,2457.4,2431,2445.2,2442.52477,23092,1295,56402782,6338,27.45,26.4,-4.8
19-Jul-17,2418,2457.9,2417.3,2450.45,2440.507113,41898,2557,102252367,13390,31.96,40.6,32.45
18-Jul-17,2397,2440,2397,2405.25,2414.731109,88534,2293,213785804,60083,67.86,43,8.25
17-Jul-17,2400,2420.65,2384,2395.7,2402.541426,34568,2071,83051052,8853,25.61,36.65,-4.3
14-Jul-17,2389,2422.65,2376.1,2398.8,2398.508912,210052,7469,503811594,79323,37.76,46.55,9.8
13-Jul-17,2449.9,2471,2427.1,2444.05,2447.076019,68457,3777,167519483,11910,17.4,43.9,-5.85
12-Jul-17,2487.95,2488,2431.3,2439.1,2449.524619,45757,2640,112082898,10442,22.82,56.7,-48.85
11-Jul-17,2438.8,2513.4,2426.85,2471.9,2473.555924,144813,6064,358203054,54929,37.93,86.55,33.1
10-Jul-17,2333,2452,2333,2440.85,2418.046046,675366,39253,1633066086,365708,54.15,119,107.85
7-Jul-17,2354.6,2356,2325,2332.2,2343.734014,54909,2332,128692091,34440,62.72,31,-22.4
6-Jul-17,2350.05,2361.3,2340,2344.8,2348.564206,31134,1906,73120198,13224,42.47,21.3,-5.25
5-Jul-17,2364,2364,2346.3,2357.75,2355.594102,20786,1308,48963379,6779,32.61,17.7,-6.25
4-Jul-17,2373.4,2381.4,2351.1,2364,2365.660792,28089,1592,66449046,7124,25.36,30.3,-9.4
3-Jul-17,2364,2382.95,2345.5,2373.4,2366.533676,36183,2016,85628288,16207,44.79,37.45,9.4
